True,Country,Variable,Year,Unit,Value
119,Finland,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2009,US dollars per kilogram,3.7532099999999997
120,Finland,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2010,US dollars per kilogram,3.3542730000000005
121,Finland,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2011,US dollars per kilogram,3.9068
122,Finland,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2012,US dollars per kilogram,4.299981
123,Finland,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2013,US dollars per kilogram,4.21566
124,Finland,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2014,US dollars per kilogram,4.557295
125,Finland,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2015,US dollars per kilogram,4.931995
126,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",1990,US dollars per kilogram,4.881455
127,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",1995,US dollars per kilogram,5.233764
128,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2000,US dollars per kilogram,5.692488
129,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2001,US dollars per kilogram,5.746983999999999
130,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2002,US dollars per kilogram,5.902665
131,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2003,US dollars per kilogram,5.857296
132,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2004,US dollars per kilogram,6.009082
133,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2005,US dollars per kilogram,6.058066999999999
134,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2006,US dollars per kilogram,6.361054
135,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2007,US dollars per kilogram,6.660089
136,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2008,US dollars per kilogram,6.755056
137,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2009,US dollars per kilogram,6.880648
138,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2010,US dollars per kilogram,6.867675
139,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2011,US dollars per kilogram,7.702024000000001
140,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2012,US dollars per kilogram,7.634873
141,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2013,US dollars per kilogram,7.6132990000000005
142,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2014,US dollars per kilogram,8.556819
143,France,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2015,US dollars per kilogram,8.454656
144,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",1990,US dollars per kilogram,2.564361
145,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",1995,US dollars per kilogram,3.113018
146,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2000,US dollars per kilogram,3.6097050000000004
147,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2001,US dollars per kilogram,3.586153
148,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2002,US dollars per kilogram,3.645776
149,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2003,US dollars per kilogram,3.6075449999999996
150,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2004,US dollars per kilogram,3.722312
151,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2005,US dollars per kilogram,3.834378
152,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2006,US dollars per kilogram,3.914072
153,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2007,US dollars per kilogram,4.212994999999999
154,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2008,US dollars per kilogram,4.2119029999999995
155,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2009,US dollars per kilogram,4.27878
156,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2010,US dollars per kilogram,4.22684
157,Germany,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2011,US dollars per kilogram,4.546906
