Country,System,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Estonia,Terrestrial,12200.0,3168.0,25377.0,13809.0,23943.0,8333.0,10749.0,9646.0,21679.0,18706.0,25457.0,6079.0,14390.0,7452.0,15505.0,19956.0,3806.0,5561.0,4417.0,3602.0,3493.0,3521.0,,
Ethiopia,Freshwater,,150.0,238.0,13055.0,4028742.0,15831.0,8174.0,23544.0,4379.0,,225.0,,514.0,1118.0,823.0,1147.0,1101.0,1413.0,683.0,1653.0,760.0,,,
Ethiopia,Terrestrial,2355.0,150.0,238.0,13055.0,4028742.0,15831.0,8174.0,23544.0,4379.0,,225.0,,514.0,1118.0,823.0,1147.0,1101.0,1413.0,683.0,1653.0,760.0,,,
Falkland Islands (Malvinas),Marine,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Freshwater,170.0,717109.5,601415.0,571518.0,548074.0,285034.0,571882.0,289569.0,227254.0,329618.0,353061.0,258126.0,314512.0,221542.0,186395.0,168254.0,206803.0,148980.0,152381.0,,,,,
Finland,Marine,226077.0,717109.5,601415.0,571518.0,548074.0,285034.0,571882.0,289569.0,227254.0,329618.0,353061.0,258126.0,314512.0,221542.0,186395.0,168254.0,206803.0,148980.0,152381.0,,,,,
Finland,Terrestrial,64.73,717109.5,601415.0,571518.0,548074.0,285034.0,571882.0,289569.0,227254.0,329618.0,353061.0,258126.0,314512.0,221542.0,186395.0,168254.0,206803.0,148980.0,152381.0,,,,,
France,Freshwater,3614607.85,3691067.0,3996410.5,3866528.5,3997120.0,4245968.88,3887317.5,3225679.0,3550878.0,3938026.0,3742341.0,4248651.0,4119659.0,40026.0,40179.0,38757.0,49006.0,40922.0,41832.0,37744.0,44206.0,,,
France,Marine,39930.0,3691067.0,3996410.5,3866528.5,3997120.0,4245968.88,3887317.5,3225679.0,3550878.0,3938026.0,3742341.0,4248651.0,4119659.0,40026.0,40179.0,38757.0,49006.0,40922.0,41832.0,37744.0,44206.0,,,
France,Terrestrial,118.0,3691067.0,3996410.5,3866528.5,3997120.0,4245968.88,3887317.5,3225679.0,3550878.0,3938026.0,3742341.0,4248651.0,4119659.0,40026.0,40179.0,38757.0,49006.0,40922.0,41832.0,37744.0,44206.0,,,
French Guiana,Freshwater,,,1773.0,,,,,,,,,1350.0,,,,,,,120799.0,,75970.0,,,
French Guiana,Marine,,,1773.0,,,,,,,,,1350.0,,,,,,,120799.0,,75970.0,,,
French Polynesia,Marine,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,Terrestrial,,,,,,,,,,,,,,,,,,,,,,,,
French Southern Territories,Terrestrial,418.0,523.0,706.0,429.0,687.0,322.0,,,,,,,,,,,,,,,,,,
Gabon,Terrestrial,,,,,,,,30000.0,,,,,,45500.0,,,,,,,,,,
Germany,Freshwater,32323.0,673672.0,626678.0,561696.5,522424.0,130911.5,121361.0,260358.0,245024.0,331632.0,303379.0,338230.0,313238.0,248159.0,90755.0,88888.0,115555.0,101161.0,24455.0,,,,,
Germany,Marine,40726.0,673672.0,626678.0,561696.5,522424.0,130911.5,121361.0,260358.0,245024.0,331632.0,303379.0,338230.0,313238.0,248159.0,90755.0,88888.0,115555.0,101161.0,24455.0,,,,,
Germany,Terrestrial,485274.0,673672.0,626678.0,561696.5,522424.0,130911.5,121361.0,260358.0,245024.0,331632.0,303379.0,338230.0,313238.0,248159.0,90755.0,88888.0,115555.0,101161.0,24455.0,,,,,
Ghana,Freshwater,,128.0,224.130952,,,,,46785.0,35301.0,265.0,338.0,21.0,,241.0,191.0,68.0,,260.0,,195.0,,,,
Ghana,Marine,,128.0,224.130952,,,,,46785.0,35301.0,265.0,338.0,21.0,,241.0,191.0,68.0,,260.0,,195.0,,,,
Ghana,Terrestrial,228.0,128.0,224.130952,,,,,46785.0,35301.0,265.0,338.0,21.0,,241.0,191.0,68.0,,260.0,,195.0,,,,
Greece,Freshwater,11368.0,15321.0,3948.0,5365.0,10446.0,18801.0,15892.0,9781.0,14157.0,16282.0,9417.0,11296.0,21118.0,11805.0,15657.0,16326.0,14185.0,9140.0,20427.0,24902.0,14387.0,16779.0,10452.0,
Greece,Marine,3503.0,15321.0,3948.0,5365.0,10446.0,18801.0,15892.0,9781.0,14157.0,16282.0,9417.0,11296.0,21118.0,11805.0,15657.0,16326.0,14185.0,9140.0,20427.0,24902.0,14387.0,16779.0,10452.0,
Greece,Terrestrial,1167.0,15321.0,3948.0,5365.0,10446.0,18801.0,15892.0,9781.0,14157.0,16282.0,9417.0,11296.0,21118.0,11805.0,15657.0,16326.0,14185.0,9140.0,20427.0,24902.0,14387.0,16779.0,10452.0,
Greenland,Freshwater,,,,,225000.0,,32000.0,,,,,,,,,,,,,,,,,
Greenland,Marine,,,,,225000.0,,32000.0,,,,,,,,,,,,,,,,,
Greenland,Terrestrial,,,,,225000.0,,32000.0,,,,,,,,,,,,,,,,,
Guam,Terrestrial,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Terrestrial,,3000.0,,,,,,,,,,,,17600.0,,,,,,,,,,
Guinea-Bissau,Marine,,,,645800.0,675750.0,,,,,,,828800.0,,,,,,,,,,,,
Guyana,Marine,,,,,,,,,,,,,,,,,,,,,21320.0,,,
Heard Island And McDonald Islands,Marine,15000.0,,21280.0,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Freshwater,56.0,,,,82.0,86.0,109.0,114.0,155.0,108.0,96.0,171.0,176.0,249.0,293.0,350.0,397.0,,,,,,,
Hungary,Terrestrial,33.0,910.0,943.0,945.0,1068.0,1143.0,1275.0,1164.0,1102.0,1086.0,1215.0,1222.0,1270.0,1284.0,74.0,,,,,,,,,
Iceland,Freshwater,120000.0,,,,3164.0,80163.0,,,,4738.0,,200.0,,,,2370.0,,,,,,,,
