True,Country,Source,Variable,Year,Unit,Value
85,Denmark,Fresh surface water,Total gross abstraction,2013,Cubic metres,10.94
86,Denmark,Fresh surface water,Total gross abstraction,2014,Cubic metres,9.56
87,Denmark,Fresh surface water,Total gross abstraction,2015,Cubic metres,16.1
88,Denmark,Fresh surface water,Public water supply,2010,Cubic metres,0.2
89,Denmark,Fresh surface water,Public water supply,2011,Cubic metres,0.1
90,Denmark,Fresh surface water,Public water supply,2012,Cubic metres,0.5
91,Denmark,Fresh surface water,Public water supply,2013,Cubic metres,3.53
92,Denmark,Fresh surface water,Public water supply,2014,Cubic metres,3.46
93,Denmark,Fresh surface water,Public water supply,2015,Cubic metres,4.15
94,Denmark,Fresh surface water,"Agriculture, forestry, fishing",2008,Cubic metres,5.1
95,Denmark,Fresh surface water,"Agriculture, forestry, fishing",2009,Cubic metres,9.4
96,Denmark,Fresh surface water,"Agriculture, forestry, fishing",2010,Cubic metres,2.8
97,Denmark,Fresh surface water,"Agriculture, forestry, fishing",2011,Cubic metres,3.0
98,Denmark,Fresh surface water,"Agriculture, forestry, fishing",2012,Cubic metres,3.2
99,Denmark,Fresh surface water,"Agriculture, forestry, fishing",2013,Cubic metres,4.28
100,Denmark,Fresh surface water,"Agriculture, forestry, fishing",2014,Cubic metres,4.22
101,Denmark,Fresh surface water,"Agriculture, forestry, fishing",2015,Cubic metres,1.98
102,Denmark,Fresh surface water,Irrigation,2008,Cubic metres,0.6
103,Denmark,Fresh surface water,Irrigation,2009,Cubic metres,2.19
104,Denmark,Fresh surface water,Irrigation,2010,Cubic metres,2.5
105,Denmark,Fresh surface water,Irrigation,2011,Cubic metres,2.0
106,Denmark,Fresh surface water,Irrigation,2012,Cubic metres,2.1
107,Denmark,Fresh surface water,Irrigation,2013,Cubic metres,4.28
108,Denmark,Fresh surface water,Irrigation,2014,Cubic metres,4.04
109,Denmark,Fresh surface water,Irrigation,2015,Cubic metres,1.98
110,Denmark,Fresh surface water,Manufacturing industry,2008,Cubic metres,2.71
111,Denmark,Fresh surface water,Manufacturing industry,2009,Cubic metres,0.1
112,Denmark,Fresh surface water,Manufacturing industry,2010,Cubic metres,1.7
